연번,진량황제A (출발),대구대1,하양역1,상공회의소,안심역,하양역2,대구대2,진량황제A (도착),운행 경로 및 시간
1,NaN,05:30:00,06:25:00,07:05:00,07:15:00,07:25:00,07:45:00,NaN,(하양대구은행 출발)
2,05:35:00,05:50:00,06:00:00,06:50:00,07:30:00,07:40:00,07:50:00,08:10:00,
3,06:00:00,06:15:00,06:25:00,07:30:00,08:10:00,08:25:00,08:40:00,NaN,
4,06:15:00,06:35:00,06:45:00,07:50:00,08:30:00,08:45:00,09:00:00,NaN,
5,06:30:00,06:50:00,07:00:00,08:10:00,08:50:00,09:05:00,09:20:00,NaN,
6,06:45:00,07:05:00,07:15:00,08:25:00,09:05:00,09:20:00,09:35:00,NaN,
7,07:00:00,07:20:00,07:30:00,08:40:00,09:20:00,09:40:00,09:55:00,NaN,
8,07:10:00,07:30:00,07:40:00,08:50:00,09:30:00,09:50:00,10:05:00,NaN,
9,07:20:00,07:40:00,07:50:00,09:00:00,09:40:00,10:00:00,10:15:00,NaN,
11,07:30:00,07:50:00,08:00:00,09:10:00,09:50:00,10:10:00,10:25:00,NaN,
12,NaN,08:10:00,08:20:00,09:30:00,10:10:00,10:25:00,10:40:00,NaN,
13,NaN,08:30:00,08:40:00,09:50:00,10:30:00,10:45:00,11:00:00,NaN,
14,NaN,08:50:00,09:00:00,10:10:00,10:50:00,11:05:00,11:20:00,NaN,
15,NaN,09:15:00,09:25:00,10:35:00,11:15:00,11:30:00,11:45:00,NaN,
16,NaN,09:35:00,09:45:00,10:55:00,11:35:00,11:50:00,12:05:00,NaN,
17,NaN,09:55:00,10:05:00,11:15:00,11:55:00,12:10:00,12:25:00,NaN,
18,NaN,10:12:00,10:22:00,11:32:00,12:12:00,12:27:00,12:42:00,NaN,
19,NaN,10:30:00,10:40:00,11:50:00,12:30:00,12:45:00,13:00:00,NaN,
20,NaN,10:48:00,10:58:00,12:08:00,12:48:00,13:03:00,13:18:00,NaN,
21,NaN,11:06:00,11:16:00,12:26:00,13:06:00,13:21:00,13:36:00,NaN,
22,NaN,11:22:00,11:32:00,12:42:00,13:22:00,13:37:00,13:52:00,NaN,
23,NaN,11:40:00,11:50:00,13:00:00,13:40:00,13:55:00,14:10:00,NaN,
24,NaN,11:58:00,12:08:00,13:18:00,13:58:00,14:13:00,14:28:00,NaN,
25,NaN,12:16:00,12:26:00,13:36:00,14:16:00,14:31:00,14:46:00,NaN,
26,NaN,12:34:00,12:44:00,13:54:00,14:34:00,14:49:00,15:04:00,NaN,
27,NaN,12:52:00,13:02:00,14:12:00,14:52:00,15:07:00,15:22:00,NaN,
28,NaN,13:10:00,13:20:00,14:30:00,15:10:00,15:25:00,15:40:00,NaN,
29,NaN,13:28:00,13:38:00,14:48:00,15:28:00,15:43:00,15:58:00,NaN,
30,NaN,13:46:00,13:56:00,15:06:00,15:46:00,16:01:00,16:16:00,NaN,
31,NaN,14:04:00,14:14:00,15:24:00,16:04:00,16:19:00,16:34:00,NaN,
32,NaN,14:22:00,14:32:00,15:42:00,16:22:00,16:37:00,16:52:00,NaN,
33,NaN,14:40:00,14:50:00,16:00:00,16:40:00,16:55:00,17:10:00,NaN,
34,NaN,14:57:00,15:07:00,16:17:00,16:57:00,17:12:00,17:27:00,NaN,
35,NaN,15:14:00,15:24:00,16:34:00,17:14:00,17:29:00,17:44:00,NaN,
36,NaN,15:31:00,15:41:00,16:51:00,17:31:00,17:46:00,18:01:00,NaN,
37,NaN,15:48:00,15:58:00,17:08:00,17:48:00,18:03:00,18:18:00,NaN,
38,NaN,16:05:00,16:15:00,17:25:00,18:05:00,18:20:00,18:35:00,NaN,
39,NaN,16:22:00,16:32:00,17:42:00,18:22:00,18:37:00,18:52:00,NaN,
40,NaN,16:40:00,16:50:00,18:00:00,18:40:00,18:55:00,19:10:00,NaN,
41,NaN,16:58:00,17:08:00,18:28:00,19:08:00,19:23:00,19:38:00,NaN,
42,NaN,17:15:00,17:25:00,18:45:00,19:25:00,19:40:00,19:50:00,20:10:00,
43,NaN,17:32:00,17:40:00,19:00:00,19:40:00,19:55:00,20:05:00,20:25:00,
44,NaN,17:50:00,17:58:00,19:18:00,19:58:00,20:13:00,20:23:00,20:43:00,
45,NaN,18:07:00,18:15:00,18:35:00,20:15:00,20:30:00,20:40:00,21:00:00,
46,NaN,18:24:00,18:33:00,19:53:00,20:33:00,20:48:00,20:58:00,21:15:00,
47,NaN,18:41:00,18:51:00,20:01:00,20:41:00,20:56:00,21:06:00,21:26:00,
48,NaN,18:58:00,19:08:00,20:18:00,20:58:00,21:13:00,21:23:00,21:43:00,
49,NaN,19:15:00,19:25:00,20:35:00,21:15:00,21:30:00,21:40:00,22:00:00,
51,NaN,19:35:00,19:45:00,20:55:00,21:35:00,21:50:00,22:00:00,22:20:00,
52,NaN,19:55:00,20:05:00,21:15:00,21:55:00,22:10:00,22:20:00,22:40:00,
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,별도 노선: 하양(06:05) → 능성(06:30) → 소월(06:50) → 하양(07:05) → 대구대(07:15)
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,별도 노선: 진량고 교문앞(22:30) → 윤성 경유 → 황제A(22:45 종료)
53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,별도 노선: 하양(20:40) → 초원A(20:55) → 진량고 교문앞(21:20) → 삼주A(21:25) → 황제A(21:40)
54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"출발: 진량황제A(20:30, 북리운행) → 대구대(20:50) 이후: 하양(21:00) → 신녕(21:30) → 하양역(22:10) → 초원A/부림초(22:25 종료)"
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"출발: 진량황제A(20:50, 북리운행) → 대구대(21:10) 이후: 하양(21:30) → 신녕(22:00) → 하양 대구은행(22:20 종료)"
56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"출발: 진량황제A(21:05, 북리운행) → 대구대(21:25) 이후: 하양역건너(21:35)→무학지구→하양→대구대,삼주 경유 → 진량황제A 동편(22:15 종료)"
57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"출발: 진량황제A(21:20, 북리운행) → 대구대(21:40) 이후: 하양(21:50) → 능성(22:10) → 하양 대구은행(22:35 종료)"
58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"출발: 진량황제A(21:30, 북리운행) → 대구대(21:50) 이후: 하양역건너(22:00)→무학지구→하양→대구대,삼주 경유 → 진량황제A 동편(22:40 종료)"
59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"출발: 진량황제A(21:50, 북리운행) → 대구대(22:10) 이후: 하양역건너(22:20)→무학지구→하양→대구대,삼주 경유 → 진량황제A 동편(23:00 종료)"
