route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
818,20200104000053,20200104000140,49,하양초등학교,128.81746,35.91229
818,20200104000214,20200104000240,27,하양대구은행,128.8208,35.91398
818,20200104000501,20200104000525,25,금락초교 건너,128.82316,35.91077
818,20200104000554,20200104000620,27,부기리LH아파트,128.82388,35.90677
818,20200104000648,20200104000658,11,부기2리,128.8243,35.90354
818,20200104000829,20200104000837,9,대구대삼거리(대구대방향),128.82524,35.90096
818,20200104000916,20200104000951,36,상림리 건너,128.83169,35.90187
818,20200104001028,20200104001053,26,내리리입구 건너,128.8379,35.90026
818,20200104001127,20200104001151,25,대구대서문 건너,128.84335,35.89858
818,20200104001210,20200104001218,8,대구대(정문2건너),128.84667,35.89717
818,20200104001224,20200104001231,7,대구대정문 건너,128.8486,35.89701
818,20200104001236,20200104001247,11,대구대종점 건너,128.85051,35.897
990,20200104055046,20200104055100,15,섬유회관앞,128.58307,35.87053
990,20200104055134,20200104055148,15,성명여자중학교,128.58565,35.86946
990,20200104055409,20200104055420,11,현대백화점.동아쇼핑건너,128.58935,35.86605
990,20200104055538,20200104055546,9,2호선반월당역2,128.59495,35.8652
990,20200104055649,20200104055658,10,경대사대부설고등학교앞,128.5998,35.86374
990,20200104055742,20200104055750,9,방천시장(김광석길)앞,128.6056,35.86252
990,20200104055841,20200104055853,13,수성교1,128.60973,35.86076
990,20200104055907,20200104055920,13,대구은행역(2번출구),128.61192,35.85984
990,20200104060206,20200104060214,9,수성네거리2,128.61817,35.85963
990,20200104060231,20200104060239,9,범어역(2번출구),128.62124,35.85941
990,20200104060432,20200104060446,15,수성구청앞,128.62851,35.85879
990,20200104060516,20200104060528,12,수성경찰서앞,128.63221,35.85869
990,20200104060559,20200104060612,14,경신고등학교앞,128.63696,35.85883
990,20200104060636,20200104060646,10,범어4동행정복지센터앞,128.64152,35.85874
990,20200104060740,20200104060748,9,구.남부정류장건너1,128.64702,35.85855
990,20200104060750,20200104060802,12,구.남부정류장건너2,128.64795,35.85795
990,20200104060809,20200104060908,62,수성대학교앞,128.64952,35.8571
990,20200104061021,20200104061047,27,도시철도담티역(3번출구),128.65335,35.85506
990,20200104061109,20200104061118,9,대륜중고등학교앞,128.65661,35.85356
990,20200104061156,20200104061202,6,담티고개1,128.66422,35.85124
990,20200104061230,20200104061237,8,방공포병학교앞,128.66872,35.84826
990,20200104061308,20200104061317,9,연호동화훼단지1,128.67312,35.84574
990,20200104061406,20200104061419,13,대공원역(5번출구),128.6807,35.84235
990,20200104061620,20200104061627,7,월드컵삼거리,128.68658,35.84144
990,20200104061635,20200104061642,7,고산농협창고앞,128.68895,35.8422
990,20200104061710,20200104061717,7,고산2동행정복지센터건너,128.69438,35.84279
990,20200104061734,20200104061828,56,고산역화성파크드림 앞,128.69804,35.84236
990,20200104061853,20200104061914,22,대구농업마이스터고앞,128.70168,35.84146
압량1,20200104061942,20200104062030,58,자인정류장,128.82623,35.81643
990,20200104062029,20200104062055,27,신매광장앞,128.70625,35.84048
990,20200104062127,20200104062137,10,고산도서관,128.71025,35.83875
압량1,20200104062136,20200104062205,30,자인면사무소,128.82404,35.82046
990,20200104062203,20200104062506,190,사월역(2번출구),128.71409,35.83722
991,20200104062203,20200104062217,14,갑제동회관 건너,128.76423,35.8297
압량1,20200104062211,20200104062223,13,경북자동차고 건너,128.82246,35.82056
압량1,20200104062310,20200104062316,7,자인부대 건너,128.81727,35.82496
399,20200104062338,20200104062442,68,자인정류장,128.82627,35.8162
991,20200104062411,20200104062430,19,영남대동문 건너,128.76501,35.83584
압량1,20200104062430,20200104062445,16,북사리2(경산방향),128.8087,35.82416
991,20200104062514,20200104062538,25,신대푸르지오아파트 앞,128.76662,35.83799
399,20200104062606,20200104062625,20,자인면사무소,128.82402,35.82044
991,20200104062617,20200104062724,70,신대리부영아파트 건너(경산방향),128.76714,35.83965
압량1,20200104062629,20200104062639,11,남신리입구(경산방향),128.80164,35.83357
399,20200104062711,20200104062723,12,자인시장입구(경산방향),128.82132,35.81784
990,20200104062730,20200104062741,12,펜타힐즈서한이다음 건너,128.71693,35.83422
399,20200104062736,20200104062746,10,계정숲,128.81967,35.81642
압량1,20200104062737,20200104062749,12,백안리마을회관(경산방향),128.79776,35.83146
991,20200104062805,20200104062815,10,신대근린공원 앞,128.76443,35.8413
990,20200104062812,20200104062833,22,펜타힐즈더샵1차 건너,128.71926,35.8304
399,20200104062822,20200104062829,7,농업기술센터,128.81469,35.81552
991,20200104062833,20200104062847,14,압량한라빌라트 건너,128.76343,35.84013
압량1,20200104062857,20200104062925,29,강서리(마을입구),128.79655,35.82456
991,20200104062933,20200104062943,10,우진아파트 앞,128.75965,35.8407
압량1,20200104063000,20200104063013,14,당리리(마을입구),128.79775,35.81987
압량1,20200104063023,20200104063040,18,당리리회관 건너,128.79653,35.81906
991,20200104063040,20200104063106,27,영남대 건너,128.7544,35.83739
399,20200104063044,20200104063052,14,경산시장 건너(대구은행),128.73596,35.82342
399,20200104063101,20200104063108,7,계남입구(경산방향),128.80966,35.81533
990,20200104063129,20200104063151,22,펜타힐즈푸르지오 앞,128.71785,35.82651
399,20200104063141,20200104063151,11,중앙초교,128.73339,35.82213
399,20200104063148,20200104063157,9,당리경노당 앞,128.80244,35.81312
991,20200104063152,20200104063159,8,북부동행정복지센터 건너,128.74722,35.83425
399,20200104063211,20200104063233,23,국민건강보험공단(경산역),128.73052,35.82081
399,20200104063213,20200104063220,7,당리리(경산방향),128.79924,35.8125
399,20200104063316,20200104063322,6,남방(경산방향),128.78902,35.81136
399,20200104063317,20200104063344,28,옥산네거리(대구방향),128.72762,35.82262
990,20200104063329,20200104063340,12,펜타힐즈더샵2차남편 건너,128.72068,35.8256
991,20200104063336,20200104063344,9,임당역1번출구,128.74101,35.83418
399,20200104063343,20200104063351,8,진못(경산방향),128.78442,35.8111
990,20200104063351,20200104063410,20,옥산로(경산방향),128.72287,35.82629
압량1,20200104063353,20200104063403,10,신월리,128.79339,35.82943
991,20200104063400,20200104063408,9,중방e편한세상 건너,128.73791,35.8342
399,20200104063408,20200104063415,7,신천입구(경산방향),128.78084,35.81162
399,20200104063438,20200104063446,8,서부2동행정복지센터(옥산2지구),128.72571,35.82598
399,20200104063446,20200104063508,23,평산동(남성초등학교),128.77531,35.81272
압량1,20200104063448,20200104063458,11,당음리입구(경산방향),128.78794,35.82988
399,20200104063522,20200104063548,27,경남신성A,128.7236,35.83046
991,20200104063523,20200104063533,11,롯데시네마,128.7342,35.83427
990,20200104063524,20200104063553,30,옥산네거리(경산방향),128.72644,35.82397
압량1,20200104063530,20200104063545,15,당음리(신대방향),128.78474,35.8309
991,20200104063534,20200104063537,3,영대교(대구방향),128.73299,35.83428
399,20200104063551,20200104063557,6,갑제삼거리(경산방향),128.76951,35.81505
991,20200104063553,20200104063604,11,정평역4번출구,128.73069,35.83424
990,20200104063614,20200104063650,38,서부1동행정복지센터,128.7279,35.82143
압량1,20200104063616,20200104063627,11,호곡지 건너,128.78068,35.83156
991,20200104063623,20200104063640,17,정평역1번출구(현대타운),128.72772,35.83437
399,20200104063637,20200104063708,33,옥산네거리(경산방향),128.72672,35.82406
991,20200104063659,20200104063707,8,중산삼거리(대구방향),128.7245,35.83497
압량1,20200104063712,20200104063720,8,신대삼거리(영대방향),128.77493,35.83409
399,20200104063731,20200104063751,21,서부1동행정복지센터,128.72802,35.82146
399,20200104063805,20200104063812,7,경북권역재활병원 건너,128.76622,35.8161
압량1,20200104063807,20200104063824,17,감못 건너,128.77189,35.83413
991,20200104063808,20200104063931,86,사월역(4번출구),128.71821,35.83656
399,20200104063823,20200104063831,8,시립박물관,128.76472,35.81555
990,20200104063844,20200104063913,30,중앙초교 건너,128.73226,35.82158
399,20200104063853,20200104063917,25,중앙초교 건너,128.73228,35.82162
399,20200104063909,20200104063940,32,사동부영1차A,128.76289,35.81185
399,20200104063913,20200104063946,35,사월역(4번출구),128.71822,35.83657
990,20200104063935,20200104064012,39,경산시장,128.7348,35.82274
399,20200104063944,20200104064032,50,경산시장,128.73475,35.82279
