연번,정류장,예정시간,실제도착시간,지연(분)
1,대구대정문 건너,2020-01-02 05:30:00,2020-01-02 05:50:34,20.57
1,하양역 건너,2020-01-02 06:25:00,2020-01-02 06:29:12,4.2
1,상공회의소건너,2020-01-02 07:05:00,2020-01-02 07:01:54,-3.1
1,안심역(4번출구),2020-01-02 07:15:00,2020-01-02 07:18:14,3.23
1,하양역,2020-01-02 07:25:00,2020-01-02 07:32:12,7.2
1,대구대정문 건너,2020-01-02 07:45:00,2020-01-02 07:43:00,-2.0
1,대구대정문 건너,2020-01-03 05:30:00,2020-01-03 05:26:40,-3.33
1,하양역 건너,2020-01-03 06:25:00,2020-01-03 06:29:13,4.22
1,상공회의소건너,2020-01-03 07:05:00,2020-01-03 07:07:04,2.07
1,안심역(4번출구),2020-01-03 07:15:00,2020-01-03 07:09:00,-6.0
1,하양역,2020-01-03 07:25:00,2020-01-03 07:26:52,1.87
1,대구대정문 건너,2020-01-03 07:45:00,2020-01-03 07:44:16,-0.73
1,대구대정문 건너,2020-01-06 05:30:00,2020-01-06 05:40:01,10.02
1,하양역 건너,2020-01-06 06:25:00,2020-01-06 06:32:07,7.12
1,상공회의소건너,2020-01-06 07:05:00,2020-01-06 07:01:08,-3.87
1,안심역(4번출구),2020-01-06 07:15:00,2020-01-06 07:09:10,-5.83
1,하양역,2020-01-06 07:25:00,2020-01-06 07:26:42,1.7
1,대구대정문 건너,2020-01-06 07:45:00,2020-01-06 07:44:10,-0.83
2,진량황제A(진량방향),2020-01-02 05:35:00,2020-01-02 05:56:04,21.07
2,대구대정문 건너,2020-01-02 05:50:00,2020-01-02 05:50:34,0.57
2,하양역 건너,2020-01-02 06:00:00,2020-01-02 05:59:23,-0.62
2,상공회의소건너,2020-01-02 06:50:00,2020-01-02 06:47:50,-2.17
2,안심역(4번출구),2020-01-02 07:30:00,2020-01-02 07:29:57,-0.05
2,하양역,2020-01-02 07:40:00,2020-01-02 07:44:31,4.52
2,대구대정문 건너,2020-01-02 07:50:00,2020-01-02 07:54:51,4.85
2,진량황제A(진량방향),2020-01-03 05:35:00,2020-01-03 05:33:55,-1.08
2,대구대정문 건너,2020-01-03 05:50:00,2020-01-03 05:48:55,-1.08
2,하양역 건너,2020-01-03 06:00:00,2020-01-03 05:56:49,-3.18
2,상공회의소건너,2020-01-03 06:50:00,2020-01-03 06:54:32,4.53
2,안심역(4번출구),2020-01-03 07:30:00,2020-01-03 07:26:59,-3.02
2,하양역,2020-01-03 07:40:00,2020-01-03 07:44:29,4.48
2,대구대정문 건너,2020-01-03 07:50:00,2020-01-03 07:54:47,4.78
2,진량황제A(진량방향),2020-01-06 05:35:00,2020-01-06 06:18:16,43.27
2,대구대정문 건너,2020-01-06 05:50:00,2020-01-06 05:40:01,-9.98
2,하양역 건너,2020-01-06 06:00:00,2020-01-06 06:10:36,10.6
2,상공회의소건너,2020-01-06 06:50:00,2020-01-06 06:54:37,4.62
